Year,Authors,Title,Source title,DOI,Abstract
2022,Carvajal R.R.; Esteban A.N.P.; Contreras C.C.T.; Felipe R.E.E.; González N.R.; Muñoz C.C.M.,"Factors related to healthcare costs of road traffic accidents in Bucaramanga, Colombia",Revista de Saude Publica,10.11606/s1518-8787.2022056003299,"OBJECTIVE: To determine the factors related to overall healthcare costs of road traffic accidents in Bucaramanga, Colombia. METHODS: A descriptive cross-sectional study was conducted through the analysis of road traffic accident records that took place in 2019 in Bucaramanga, Colombia. Cost quartiles in dollars were compared using Pearson’s chi-squared and Fisher’s exact tests. Odds ratios were also calculated in logistic regression. RESULTS: 3,150 road accidents were reported in 2019 involving 7,038 people, of which 812 had information related to healthcare costs in health care institutions. The median cost was 56.59 USD (RI = 29.35–140.15), average cost of 290.11 USD ± 731.22 (95%CI: 239.74–340.48). A higher possibility to be in the 4th quartile was found when persons were under 18 years of age (OR = 4.88; 95%CI: 1.30–18.32) or 46–60 years (OR = 3.66; 95%CI: 1.01–13.30), the type of vehicle involved is motorcycle (OR = 2.79; 95%CI: 1.25–6.24), bicycle (OR = 7.66; 95%CI: 2.70–21.68), having a head injury (OR = 4.50; 95%CI: 2.61–7.76) and hypothetical drunk driving (OR = 12.44; 95%CI: 2.01–76.87). CONCLUSIONS: Relevant factors in healthcare costs were riding a motorcycle or bicycle, having a head injury, being under 18 years of age or 46 to 60 years of age and hypothetical drunk driving. It is important to implement prevention measures based on identified factors to reduce road accident rate and therefore, its socioeconomic costs © This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided that the original author and source are credited"
2022,Rivera-Carvajal R.; Páez-Esteban A.N.; Torres-Contreras C.C.; Esquiaqui-Felipe R.E.; González N.R.; Mejía-Muñoz C.C.,"Factors related to healthcare costs of road traffic accidents in Bucaramanga, Colombia",Revista de saude publica,10.11606/s1518-8787.2022056003299,"OBJECTIVE: To determine the factors related to overall healthcare costs of road traffic accidents in Bucaramanga, Colombia. METHODS: A descriptive cross-sectional study was conducted through the analysis of road traffic accident records that took place in 2019 in Bucaramanga, Colombia. Cost quartiles in dollars were compared using Pearson's chi-squared and Fisher's exact tests. Odds ratios were also calculated in logistic regression. RESULTS: 3,150 road accidents were reported in 2019 involving 7,038 people, of which 812 had information related to healthcare costs in health care institutions. The median cost was 56.59 USD (RI = 29.35-140.15), average cost of 290.11 USD ± 731.22 (95%CI: 239.74-340.48). A higher possibility to be in the 4th quartile was found when persons were under 18 years of age (OR = 4.88; 95%CI: 1.30-18.32) or 46-60 years (OR = 3.66; 95%CI: 1.01-13.30), the type of vehicle involved is motorcycle (OR = 2.79; 95%CI: 1.25-6.24), bicycle (OR = 7.66; 95%CI: 2.70-21.68), having a head injury (OR = 4.50; 95%CI: 2.61-7.76) and hypothetical drunk driving (OR = 12.44; 95%CI: 2.01-76.87). CONCLUSIONS: Relevant factors in healthcare costs were riding a motorcycle or bicycle, having a head injury, being under 18 years of age or 46 to 60 years of age and hypothetical drunk driving. It is important to implement prevention measures based on identified factors to reduce road accident rate and therefore, its socioeconomic costs."
2021,Batista A.V.S.; Aguiar G.B.; Bennett P.; Umigi M.R.; Veiga J.C.E.,Observational study of patients with occipital condyle fracture at a brazilian referral trauma center; [Estudo observacional de pacientes com fratura de côndilo ocipital em centro de referência em trauma no brasil],Revista do Colegio Brasileiro de Cirurgioes,10.1590/0100-6991e-20213024,"Objective: to evaluate the clinical-epidemiological characteristics, treatment, and evolution of patients with occipital condyle fracture (OCF) at one of the largest referral trauma centers in Latin America. Methods: this was a retrospective observational study of OCF identified from trauma cases admitted between December 2011 and December 2019 by the neurosurgery team at a Type 3 trauma center. Results: a total of twenty-eight occipital condyle fractures were identified in twenty-six patients. The incidence was less than 0.2% per year and more common in male patients (4:1 ratio) involved in traffic accidents. The mean age was 42.08 years. Anderson and Montesano type II and Tuli type 1 were the most frequent (67.9% and 89.3%, respectively) and no case presented C0-C1-C2 instability. All patients were treated with a cervical collar for 3 to 6 months. About 65% of the patients exhibited good progression (Glasgow Outcome Scale equal to 4), and the severity of traumatic brain injury was the main determinant for negative outcomes. Conclusion: the findings of this study are in accordance with available literature data. The use of external stabilization with a cervical collar is reinforced for the treatment of stable lesions, even when these are bilateral. Assessment of the patients’ follow-up results in the studied sample may contribute with useful information for the treatment of occipital condyle fractures. © 2021, Colegio Brasileiro de Cirurgioes. All rights reserved."
2021,Pérez-García V.; Amaris-Pérez A.; Escobar-Pacheco C.; Ramos-Díaz A.; Lozada-Martínez I.D.,Letter to the editor regarding “The impact of COVID-19 on neurosurgical head trauma referrals and admission at a tertiary neurosurgical centre”,Journal of Clinical Neuroscience,10.1016/j.jocn.2021.05.070,[No abstract available]
2021,Selveindran S.M.; Samarutilake G.D.N.; Vera D.S.; Brayne C.; Hill C.; Kolias A.; Joannides A.J.; Hutchinson P.J.A.; Rubiano A.M.,Prevention of road traffic collisions and associated neurotrauma in Colombia: An exploratory qualitative study,PLoS ONE,10.1371/journal.pone.0249004,"Introduction Neurotrauma is an important but preventable cause of death and disability worldwide, with the majority being associated with road traffic collisions (RTCs). The greatest burden is seen in low -and middle- income countries (LMICs) where variations in the environment, infrastructure, population and habits can challenge the success of conventional preventative approaches. It is therefore necessary to understand local perspectives to allow for the development and implementation of context-specific strategies which are effective and sustainable. Methods This study took place in Colombia where qualitative data collection was carried out with ten key informants between October and November 2019. Semi-structured interviews were conducted and explored perceptions on RTCs and neurotrauma, preventative strategies and interventions, and the role of research in prevention. Interview transcripts were analysed by thematic analysis using a framework approach. Results Participants' confirmed that RTCs are a significant problem in Colombia with neurotrauma as an important outcome. Human and organisational factors were identified as key causes of the high rates of RTCs. Participants described the current local preventative strategies, but were quick to discuss limitations and challenges to their success. Key barriers reported were poor attitudes and knowledge, particularly in the community. Suggestions were provided on ways to improve prevention through better education and awareness, stricter enforcement and new policies on prevention, proper budgeting and resource allocation, as well as through collaboration and changes in attitudes and leadership. Participants identified four key research areas they felt would influence prevention of RTCs and associated neurotrauma: causes of RTCs; consequences and impact of RTCs; public involvement in research; improving prevention. Conclusion RTCs are a major problem in Colombia despite the current preventative strategies and interventions. Findings from this study have a potential to influence policy, practice and research by illustrating different solutions to the challenges surrounding prevention and by highlighting areas for further research. Copyright:  © 2021 M. Selveindran et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
2020,Dunne J.; Quiñones-Ossa G.A.; Still E.G.; Suarez M.N.; González-Soto J.A.; Vera D.S.; Rubiano A.M.,The Epidemiology of Traumatic Brain Injury Due to Traffic Accidents in Latin America: A Narrative Review,Journal of Neurosciences in Rural Practice,10.1055/s-0040-1709363,"Objective ?Traumatic brain injuries (TBIs) are devastating injuries and represent a major cause of morbidity and mortality worldwide. Traffic accidents are one of the main causes, especially in low- and middle-income countries. The epidemiology of TBI due to road traffic in Latin America is not clearly documented. Methods ?A narrative review was conducted using PubMed, SCOPUS, and Google Scholar, looking for TBI studies in Latin America published between 2000 and 2018. Seventeen studies were found that met the inclusion and exclusion criteria. Results ? It was found that TBI due to road traffic accidents (RTAs) is more frequent in males between the ages of 15 and 35 years, and patients in motor vehicles accounted for most cases, followed by pedestrians, motorcyclists, and cyclists. Conclusion ?Road traffic accidents is a common cause of TBI in Latin America. More studies and registries are needed to properly document the epidemiological profiles of TBI related to RTAs. ©2020 Association for Helping Neurosurgical Sick People."
2020,"James S.L.; Lucchesi L.R.; Bisignano C.; Castle C.D.; Dingels Z.V.; Fox J.T.; Hamilton E.B.; Liu Z.; McCracken D.; Nixon M.R.; Sylte D.O.; Roberts N.L.S.; Adebayo O.M.; Aghamolaei T.; Alghnam S.A.; Aljunid S.M.; Almasi-Hashiani A.; Badawi A.; Behzadifar M.; Behzadifar M.; Bekru E.T.; Bennett D.A.; Chapman J.R.; Deribe K.; Adema B.D.; Fatahi Y.; Gelaw B.K.; Getahun E.A.; Hendrie D.; Henok A.; de Hidru H.; Hosseinzadeh M.; Hu G.; Jahani M.A.; Jakovljevic M.; Jalilian F.; Joseph N.; Karami M.; Kelbore A.G.; Khan M.N.; Kim Y.J.; Koul P.A.; La Vecchia C.; Linn S.; Majdzadeh R.; Mehndiratta M.M.; Memiah P.T.N.; Mengesha M.M.; Merie H.E.; Miller T.R.; Mirzaei-Alavijeh M.; Darwesh A.M.; Mezerji N.M.G.; Mohammadibakhsh R.; Moodley Y.; Moradi-Lakeh M.; Musa K.I.; Nascimento B.R.; Nikbakhsh R.; Nyasulu P.S.; Bali A.O.; Onwujekwe O.E.; Pati S.; Kalhori R.P.; Salehi F.; Shahabi S.; Shallo S.A.; Shamsizadeh M.; Sharafi Z.; Shukla S.R.; Sobhiyeh M.R.; Soriano J.B.; Sykes B.L.; Tabarés-Seisdedos R.; Tadesse D.B.B.; Tefera Y.M.; Tehrani-Banihashemi A.; Tlou B.; Topor-Madry R.; Wiangkham T.; Yaseri M.; Yaya S.; Yenesew M.A.; Younis M.Z.; Ziapour A.; Zodpey S.; Pigott D.M.; Reiner R.C., Jr.; Hay S.I.; Lopez A.D.; Mokdad A.H.",Morbidity and mortality from road injuries: results from the Global Burden of Disease Study 2017,Injury Prevention,10.1136/injuryprev-2019-043302,"Background The global burden of road injuries is known to follow complex geographical, temporal and demographic patterns. While health loss from road injuries is a major topic of global importance, there has been no recent comprehensive assessment that includes estimates for every age group, sex and country over recent years. Methods We used results from the Global Burden of Disease (GBD) 2017 study to report incidence, prevalence, years lived with disability, deaths, years of life lost and disability-adjusted life years for all locations in the GBD 2017 hierarchy from 1990 to 2017 for road injuries. Second, we measured mortality-to-incidence ratios by location. Third, we assessed the distribution of the natures of injury (eg, traumatic brain injury) that result from each road injury. results Globally, 1 243 068 (95% uncertainty interval 1 191 889 to 1 276 940) people died from road injuries in 2017 out of 54 192 330 (47 381 583 to 61 645 891) new cases of road injuries. Age-standardised incidence rates of road injuries increased between 1990 and 2017, while mortality rates decreased. Regionally, age-standardised mortality rates decreased in all but two regions, South Asia and Southern Latin America, where rates did not change significantly. Nine of 21 GBD regions experienced significant increases in age-standardised incidence rates, while 10 experienced significant decreases and two experienced no significant change. Conclusions While road injury mortality has improved in recent decades, there are worsening rates of incidence and significant geographical heterogeneity. These findings indicate that more research is needed to better understand how road injuries can be prevented. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY. Published by BMJ."
2020,Zileli M.; Sharif S.; Fornari M.; Ramani P.; Jian F.; Fessler R.; Kim S.-H.; Takami T.; Shimokawa N.; Dechambenoit G.; Qureshi M.; Konovalov N.; Masini M.; Osorio-Fonseca E.; Sanchez J.A.S.; Bajamal A.H.; Parthiban J.; Sih I.M.; Alves Ó.L.; Oertel J.; Rasulic L.; Costa F.; Peul W.C.; Sharma K.; Eldin M.M.; Ismail N.J.; Esene I.N.; Hossain M.; Kalevski S.; Hausmann O.N.; Yaman O.; Arif S.; Brady Z.,History of spinal neurosurgery and spine societies,Neurospine,10.14245/ns.2040622.311,[No abstract available]
2020,Cariello A.N.; Perrin P.B.; Agudelo Y.R.; Olivera Plaza S.L.; Quijano-Martínez M.C.; Trujillo M.A.; Arango-Lasprilla J.C.,Predictors of longitudinal depression trajectories after traumatic brain injury in Latin America: A multi-site study,NeuroRehabilitation,10.3233/NRE-192972,"BACKGROUND: Latin America has exceptionally high rates of traumatic brain injury (TBI), but very little research has been conducted on longitudinal TBI outcomes in this global region. OBJECTIVE: This study examined whether cognitive dysfunction and social disadaptation in individuals with TBI in Latin America at hospital discharge predict longitudinal trajectories of depression at baseline, 2 months, and 4 months. METHODS: A sample of 109 people with a new TBI was recruited from three hospitals: Mexico City, Mexico, Cali, Colombia and Neiva, Colombia. Participants completed measures of cognitive dysfunction and social disadaptation before hospital discharge and measures of depression at baseline, 2 months, and 4 months. RESULTS: Results suggested that depression scores were found to decrease over time in a quadratic (or U-shaped) fashion, and more significant cognitive dysfunction at hospital discharge was associated with higher longitudinal depression trajectories. Social disadaptation did not exert a unique effect on depression trajectories after controlling for cognitive dysfunction. Depression trajectories changed differentially over time as a function of baseline cognitive dysfunction, such that for those with high cognitive impairment, depression scores started high and then dropped to a moderated range and plateaued, but for individuals with low cognitive dysfunction, depression scores started lower and decreased linearly but moderately. CONCLUSIONS: The results suggest a strong need for neuropsychological assessments and evidence-based cognitive rehabilitation strategies to be implemented immediately after TBI in Latin America, which could exert salubrious effects on depression trajectories over time. © 2020-IOS Press and the authors. All rights reserved."
2020,Bhalla K.; Gleason K.,"Effects of vehicle safety design on road traffic deaths, injuries, and public health burden in the Latin American region: a modelling study",The Lancet Global Health,10.1016/S2214-109X(20)30102-9,"Background: The Sustainable Development Goals (SDGs), which aim to halve global traffic deaths by 2020, will not be met by most low-income and middle-income countries (LMICs). In Latin America and the Caribbean (LAC) region, traffic deaths have remained stable at a high-level despite strong progress in other health domains. We evaluated the effects of road safety interventions in LAC and estimated the benefits that vehicle design improvements would have in this region. Methods: In our study done in October, 2018, we used a counterfactual analysis to assess the reduction in deaths and disability-adjusted life years (DALYs) lost if eight proven vehicle safety technologies were made more widely available in LAC countries. We estimated: (1) country-level incidence of traffic injuries, (2) the effectiveness of technologies through a systematic literature review, (3) the prevalence of car safety technologies, and (4) the lives saved and DALYs averted if all cars had these technologies. We characterised uncertainty in estimates by reporting the sensitivity of the results to alternative modelling assumptions. Findings: Increasing availability of electronic stability control, which includes antilock-brake systems, would have the largest benefits in the LAC region, estimated at 19·4% (sensitivity analysis range 8·6–31·1) fewer deaths and 17·0% (5·7–29·2) fewer DALYs. Increasing use of seatbelts would reduce deaths by 12·1% (9·1–15·5) and DALYs by 12·6% (9·4–16·3). Optimisation for side-impacts would result in 6·3% (3·1–6·5) fewer deaths, and improvements to vehicle front-end design would result in 6·0% (2·2–10·4) fewer deaths. The overall effect of improved vehicle design in the region would be 28·1% (12·8–39·2) fewer deaths, and 29·1% (13·5–39·8) fewer DALYs. Other safety technologies modelled, including airbag (front and side), side door beam, and side structure and padding, have smaller benefits. Interpretation: Regulating and encouraging the use of proven vehicle safety technologies in LMICs would have large gains and needs to be prioritised in the SDG agenda for 2030. Funding: Inter-American Development Bank. © 2020 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY-NC-ND 4.0 license."
2020,Rubiano A.M.; Vera D.S.; Montenegro J.H.; Carney N.; Clavijo A.; Carreño J.N.; Gutierrez O.; Mejia J.; Ciro J.D.; Barrios N.D.; Soto A.R.; Tejada P.A.; Zerpa M.C.; Gomez A.; Navarrete N.; Echeverry O.; Umaña M.; Restrepo C.M.; Castillo J.L.; Sanabria O.A.; Bravo M.P.; Gomez C.M.; Godoy D.A.; Orjuela G.D.; Arias A.A.; Echeverri R.A.; Paranos J.,"Recommendations of the Colombian Consensus Committee for the Management of Traumatic Brain Injury in Prehospital, Emergency Department, Surgery, and Intensive Care (Beyond One Option for Treatment of Traumatic Brain Injury: A Stratified Protocol [BOOTStraP])",Journal of Neurosciences in Rural Practice,10.1055/s-0040-1701370,"Background Traumatic brain injury (TBI) is a global public health problem. In Colombia, it is estimated that 70% of deaths from violence and 90% of deaths from road traffic accidents are TBI related. In the year 2014, the Ministry of Health of Colombia funded the development of a clinical practice guideline (CPG) for the diagnosis and treatment of adult patients with severe TBI. A critical barrier to the widespread implementation was identified-that is, the lack of a specific protocol that spans various levels of resources and complexity across the four treatment phases. The objective of this article is to present the process and recommendations for the management of patients with TBI in various resource environments, across the treatment phases of prehospital care, emergency department (ED), surgery, and intensive care unit. Methods Using the Delphi methodology, a consensus of 20 experts in emergency medicine, neurosurgery, prehospital care, and intensive care nationwide developed recommendations based on 13 questions for the management of patients with TBI in Colombia. Discussion It is estimated that 80% of the global population live in developing economies where access to resources required for optimum treatment is limited. There is limitation for applications of CPGs recommendations in areas where there is low availability or absence of resources for integral care. Development of mixed methods consensus, including evidence review and expertise points of good clinical practices can fill gaps in application of CPGs. BOOTStraP (Beyond One Option for Treatment of Traumatic Brain Injury: A Stratified Protocol) is intended to be a practical handbook for care providers to use to treat TBI patients with whatever resources are available. Results Stratification of recommendations for interventions according to the availability of the resources on different stages of integral care is a proposed method for filling gaps in actual evidence, to organize a better strategy for interventions in different real-life scenarios. We develop 10 algorithms of management for building TBI protocols based on expert consensus to articulate treatment options in prehospital care, EDs, neurological surgery, and intensive care, independent of the level of availability of resources for care. © 2020 Association for Helping Neurosurgical Sick People."
2019,Fernández L.M.G.; Ortiz-Velásquez L.A.; Casas-Arroyave F.D.,Management and perioperative outcomes of traumatic brain injury: retrospective study,Colombian Journal of Anesthesiology,10.1097/CJ9.0000000000000112,"Introduction: Cranioencephalic traumatism (CET) is a cause of mortality and morbidity in the surgical patient. However, the perioperative management of this entity has not been evaluated in the country's health institutions, despite its high disease burden and potential adverse clinical outcomes.Objective: To evaluate the clinical characteristics of surgical TBI and perioperative outcomes.Methods: Descriptive study of historical review conducted at the Hospital San Vicente Fundación, Medellín, Colombia. Data were collected from the medical records of patients over 13 years of age diagnosed with moderate-severe TBI between 2011 and 2014. Clinical variables, perioperative management, and clinical outcomes up to discharge were analyzed. An exploratory analysis was performed between perioperative management and postoperative mortality or neurological dysfunction.Results: CET was most common in the young male population (89.3%). Severe trauma occurred in 71.1% of patients. Perioperative mortality was 16%, and 54% presented neurological disability at discharge. A strong association was found between mortality or neurological dysfunction and severity of injury and perioperative hypotension.Conclusion: The study found that surgical CET was a high morbidity and perioperative mortality event, highly related to the severity of the injury and the hemodynamic stability of the patient. Despite this, intraoperative hemodynamic and metabolic monitoring remains limited in more than 50% of these patients' surgical procedures. © 2019 Sociedad Colombiana de Anestesiología y Reanimación (S.C.A.R.E.)."
2017,Gómez-Restrepo C.; Naranjo-Lujan S.; Rondón M.; Acosta A.; Maldonado P.; Arango Villegas C.; Hurtado J.; Hernández J.C.; Angarita M.D.P.; Peña M.; Saavedra M.Á.; Quitian H.,Latin American Clinical Epidemiology Network Series – Paper 6: The influence of alcohol in traffic accidents and health care costs of it in Bogotá-Colombia,Journal of Clinical Epidemiology,10.1016/j.jclinepi.2016.10.003,"Objectives In Colombia, some studies have estimated medical costs associated to traffic accidents. It is required to assess results by city or region and determine the influence of variables such as alcohol consumption. The main objective of this study was to identify health care costs associated to traffic accidents in Bogota and determine whether alcohol consumption can increase them. Study Design and Setting Cross-sectional costs study conducted in patients over 18 years treated in the emergency rooms of six different hospitals in Bogota, Colombia. Results The average total cost of medical care per patient was 628 USD, in Bogota-Colombia. The average cost per accident was estimated at 1,349 USD. On average, the total cost for health care for patients with positive blood alcohol level was 1.8 times higher than those who did not consume alcohol. The indirect costs were on average 115.3 USD per injured person. Numbers are expressed in 2011 U.S. dollars. Conclusion Alcohol consumption increases the risk of traffic accidents and direct medical health costs. © 2016 Elsevier Inc."
2017,Rosselli D.; Carlier J.C.; Lozano M.A.; Murcia L.H.; Amaya A.F.; del Río-McMahon R.,Death from external causes in infants in Colombia 2005-2013; [Muertes de causa externa en menores de cinco años en Colombia 2005-2013],Revista Chilena de Pediatria,10.4067/S0370-41062017000400004,"Latin America has shown a significant reduction in infant mortality in recent years. The objective of this study was to analyze official data for children under five years of age in Colombia, emphasizing external causes of death, which have been less studied. Patients and Method: Descriptive cross-sectional design using secondary information from death records reported by the National Administrative Department of Statistics (DANE) and information dynamic tables of vital statistics, taken from the official information system of the Ministry of Health and Social Protection (SISPRO), between 2005 and 2013 were reviewed. The information was organized in tables for descriptive analysis of variables such as age, sex, and specific cause of death, by departments. Results: In this period 106,339 children under 5 years died; 85,897 of them (81%) in the first year of life. The number of deaths decreased from 14.266 in 2005, to 9.499 in 2013. The main external cause of death was drowning, responsible for 1749 deaths, followed by traffic accidents, 1.282. Homicides were responsible for 692 deaths. In all the causes of death analyzed there was a decline over the decade. Discussion: Colombia is accomplishing the fourth millennium goal, “reduce the mortality of children under 5 years.” Progress has been made in deaths from external causes, but there is still some way to go. © 2017, Sociedad Chilena de Pediatria. All rights reserved."
2016,Cleves D.; Gómez C.; Dávalos D.M.; García X.; Astudillo R.E.,"Pediatric trauma at a general hospital in Cali, Colombia",Journal of Pediatric Surgery,10.1016/j.jpedsurg.2016.01.008,"Background Trauma is an important cause of morbidity and mortality in children. Blunt trauma is the most common type and falls and road traffic injuries (RTI) are the most frequent mechanisms. Methods Secondary analysis of institutional data included within the Panamerican Society of Trauma Registry (STP-ITSDP). A total of 581 trauma patients younger than 18 years, hospitalized between 2012 and 2014, were included. Results Blunt trauma (BT) (68%) was the most common type, and falls (42.5%) the most common mechanism. Median age was: 14 years for penetrating trauma (PT), 8 years for BT, and 5.5 years for other types of trauma (OT). Of all patients, 8.1% had a Glasgow score < 8, 9% had a Glasgow score of 8–13 and 81.1% had a Glasgow score higher than 14. Death occurred in 5.2% of patients: 83.3% as inpatients and 16.7% during initial management in the emergency room (ER). Patients dying in the ER were mostly PT victims, with higher ISS and lower Glasgow scores. Conclusions Trauma is an important cause of morbidity and mortality in our pediatric population. Fundación Valle de Lili (FVL), a referral hospital, receives a high number of trauma patients from southwestern Colombia. Detailed knowledge of epidemiological data will help us to develop rapid response strategies for patients with trauma and to develop prevention and promotion programs. © 2016 Elsevier Inc."
